facility_name,facility_state,facility_address,facility_city,facility_zip,facility_phone_number,facility_extra_info
Hill Country State Operated Community MHMR Services,Texas,"1901 Dutton, Suite D",San Marcos,78666,512-753-2273,""
Integracare Of South Central Texas,Texas,1920 Corporate Drive Suite A 108,San Marcos,78666,512-392-0157,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
San Marcos-Hays County Home Health Care,Texas,401A Broadway Drive,San Marcos,78666,512-353-4353,""
Supports Without Limits,Texas,220 West Hutchison,San Marcos,78666,512-396-1406,""
Active Home Care Services,Texas,401 North Stemmons,Sanger,76266,940-458-2022,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Blue Bonnet Home Care,Texas,"808 Utility Road, Suite 100",Sanger,76266,817-966-1554,""
Bluebonnet Home Care,Texas,808 Utility Road,Sanger,76266,214-828-9991,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Guardian Angel Home Health Care,Texas,13246 HIGHWAY 6,Santa Fe,77510,409-927-4703,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Sonrisa Home Care,Texas,216 South 10th Street,Santa Rosa,78593,956-412-1870,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Trinity Home Health Care Service,Texas,PO Box 1118,Santa Rosa,78593,956-361-3568,""
Community Health,Texas,1401 Kellett Avenue,Schulenburg,78956,979-968-8731,""
Girling Health Care,Texas,85 North Kessler,Schulenburg,78956,979-743-2633,Services: Home Care
Regency Home Health Of Schulenburg,Texas,309 Kessler,Schulenburg,78956,979-743-4663,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
A & G Personal Provider Services,Texas,409 Todville Suite B,Seabrook,77586,281-474-2277,"Services: Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Community Health Care Services,Texas,318 A Waterfront Drive,Seabrook,77586,713-474-2277,""
Comprehensive Pharmacy Service,Texas,604 1/2 North Rackwall,Terrell,75160,214-563-8136,""
Dfw Consolidated Health Care Services,Texas,1201 N Kaufman Street,Seagoville,75159,972-287-8300,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
1st Texas Home Health,Texas,324 MEYER,Sealy,77474,979-877-0900,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
All Day Health Care,Texas,"330 Main Street, Suite #1b",Sealy,77474,979-589-4084,"Services: Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Care Health Services,Texas,234 Meyers St Suite N,Sealy,77474,713-420-9539,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Lily Home Health,Texas,234 Meyer Street Suite P,Sealy,77474,979-253-4938,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
P And P Health Care Services,Texas,888 HWY 90 E SUITE B,Sealy,77474,979-885-6959,"Services: Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Seniority Homecare,Texas,234 Meyer St Ste C,Sealy,77474,281-772-3138,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Texas Residential Health Care Services,Texas,526 WARD STREET SUITE C-138,Sealy,77474,832-226-3880,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Advanced Home Health Services,Texas,200 S AUSTIN,Seguin,78155,830-379-6171,"Services: Home Health Aid, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Guadalupe Regional Home Health,Texas,1300 Ashby Street,Seguin,78155,830-401-7561,"Services: Home Health Aid, Medical Social, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Guadalupe Valley Hospital Home Care Service,Texas,1215 East Court Street,Seguin,78155,830-379-2411,""
Home Care Services of Guadalupe Valley Hospital,Texas,1215 East Court,Seguin,78155,830-379-2411,""
Memorial Hospital Home Health Care,Texas,1004 HOBBS HWY STE 2,Seminole,79360,432-758-2662,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Physical Therapy, and Speech Pathology"
Seminole Memorial Hospital Home Health,Texas,209 Northwest Eighth Street,Seminole,79360,915-758-2662,""
Girling Home Health/Seven Points,Texas,"606 S. Seven Points, Unit #5",Seven Points,75143,903-432-2230,""
Lighted Pathways Health Services,Texas,PO Box 43731,Seven Points,75143,903-432-9055,""
Care Medical Equipment,Texas,PO Box 112,Seymour,76380,"",""
Kindred At Home,Texas,108 East Morris Street,Seymour,76380,940-888-3744,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Seymour Hospital,Texas,200 Stadium Drive,Seymour,76380,940-888-3755,""
Seymour Hospital Home Health,Texas,600 N MAIN ST,Seymour,76380,940-889-3755,"Services: Home Health Aid, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Shepards Crook Nursing Agency,Texas,113 East Third Street,Shamrock,79079,806-256-2950,""
TLC Home Health Services,Texas,905 North Arkansas Street,Shamrock,79079,806-256-3080,""
Avanti at Vision Park,Texas,120 Vision Park Drive,Shenandoah,77384,281-882-3855,Services: Home Care
Advantx Home Care,Texas,704 Sam Rayburn Freeway S,Sherman,75090,903-813-8681,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Always Better Care,Texas,2009 Independence Suite 100,Sherman,75090,903-893-1036,"Services: Home Health Aid, Medical Social, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Always Better Care Hospice,Texas,"2009 Independence Drive, Suite 100",Sherman,75090,903-868-0073,""
Angels Of Care Pediatric Home Health,Texas,8001 S US HWY 75,Sherman,75090,903-532-1400,"Services: Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Caringbridge Home Health Care,Texas,207 South Travis Street,Sherman,75090,903-870-1000,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Changing Seasons Homecare,Texas,600 N Crockett Street,Sherman,75090,903-868-3648,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Encompass Home Health Of North Central Texas,Texas,2913 Overland Trail Suite 100,Sherman,75092,903-813-3238,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
First Texas Home Health,Texas,1800 N Travis,Sherman,75090,903-892-9111,""
Grayson County Home Health,Texas,1515 S Sam Rayburn,Sherman,75090,903-891-1613,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Home Hospice,Texas,"505 West Center Street, PO Box 2306",Sherman,75091,903-868-9315,""
Jordan Health Services,Texas,1401 S Sam Rayburn Freeway Suite 500,Sherman,75090,903-892-3163,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
North Texas Home Services,Texas,118 John Fielder Drive,Sherman,75092,903-868-2745,""
Outreach Health Services,Texas,201 Sunset Boulevard,Sherman,75092,903-870-0063,""
Professional Home Care,Texas,PO Box 3166,Sherman,75091,214-892-3055,""
Quality Home Health Care,Texas,4107 Texoma Parkway,Sherman,75090,903-892-9281,"Services: Home Health Aid, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Sher Den Home Health,Texas,810 North Travis Street,Sherman,75090,903-892-1000,"Services: Home Health Aid, Medicare, Nursing Care, Physical Therapy, and Speech Pathology"
Sunrise Home Health Services,Texas,2135 N Loy Lake Road,Sherman,75090,903-465-2002,""
Symphony Lifecare Services,Texas,3701 Loy Lake Road,Sherman,75090,903-893-0422,""
Texoma Home Health,Texas,2008 Loy Lake Road,Sherman,75092,903-868-9991,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
The Hospice Center,Texas,"600 East Taylor, Suite 305",Sherman,75090,903-891-0800,""
Visionary Home Health Care,Texas,404 N Bryant Ave,Sherman,75092,903-870-1600,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Wilson N. Jones Memorial Hospital,Texas,"500 North Highland, Box 1258",Sherman,75092,903-870-4528,""
Heritage Health Care,Texas,PO Box 160,Sidney,76474,817-442-1882,""
Complete Homecare Services,Texas,115 George Street,Silsbee,77656,915-856-6720,""
Mds Choice Home Health,Texas,1460 North 5th Street,Silsbee,77656,409-386-2273,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Texas Home Health,Texas,1220 Highway 327 East,Silsbee,77656,409-385-5228,Services: Home Care
Texas Home Health Skilled Services,Texas,1105 North Fifth Street,Silsbee,77656,409-385-5890,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Tri County Home Health,Texas,809 Highway 327 East,Silsbee,77656,409-385-6032,Services: Nursing Care and Physical Therapy
Economy Medical Rental,Texas,101 West Sinton Street,Sinton,78387,"",""
Concepts of Care,Texas,7725 East Woodrow Road,Slaton,79364,915-333-1287,""
Kindred At Home,Texas,101 N 9th Street Suites B D F,Slaton,79364,817-514-8284,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Smithville Regional Hospital,Texas,800 East Highway 71,Smithville,78957,"",""
Cogdell Home Health Services,Texas,5301 Trinity Blvd Suite F,Snyder,79549,325-574-7340,"Services: Home Health Aid, Medicare, Nursing Care, Physical Therapy, and Speech Pathology"
Cogdell Hospital Home Health Service,Texas,"1800 Cogdell Boulevard, Suite B",Snyder,79549,915-574-7342,""
Comfort Keepers Home Care,Texas,2703 College Ave,Snyder,79549,325-268-1531,Services: Home Care and Home Health Aid
Senior Preferred Homecare,Texas,111 S Merchant Street,Sour Lake,77659,409-347-2500,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Aaa Home Health Care,Texas,1227 WOODSEY CT,Southlake,76092,214-501-6675,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Encompass Home Health Of Dfw,Texas,2815 Exchange Boulevard Suite 400,Southlake,76092,817-329-2155,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Estelles Home Health Agency,Texas,1200 Stanhope Court,Southlake,76092,817-460-0805,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, and Physical Therapy"
Medica Health Management,Texas,1110 North Carroll Avenue,Southlake,76092,817-310-1100,""
Senior Living,Texas,903 Midland Creek,Southlake,76092,817-291-1460,""
United Plus Home Health,Texas,505 Clariden Ranch Rd,Southlake,76092,817-382-4931,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Hansford Home Care,Texas,712 S ROLAND,Spearman,79081,806-659-5811,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Physical Therapy, and Speech Pathology"
Hansford Hospice,Texas,707 South Roland,Spearman,79081,806-659-2535,""
Panhandle Health Care,Texas,511 Southwest 11th Street Suite 111,Spearman,79081,806-659-3110,"Services: Home Care, Home Health Aid, Medicare, Nursing Care, Occupational Therapy, and Physical Therapy"
Ameripro Health Care Group,Texas,"6601 Cypresswood Drive, Suite #102",Spring,77379,281-376-0800,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Angels Around Home Care,Texas,25506 Brisk Spring,Spring,77373,859-619-2734,"Services: Hospice, Private Duty Home Care, Home Care, and Home Health Aid"
Carter Health Care,Texas,"5265 LOUETTA, SUITE #B",Spring,77379,281-379-7052,"Services: Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
CCI Enterprise,Texas,6210 Windrose Hollow Lane,Spring,77379,713-893-3996,""
Cole Home Health Care,Texas,16835 Deer Creek Drive #200,Spring,77379,281-379-7052,""
Dorothys Star Home Health,Texas,28702 Little River Ct,Spring,77386,281-651-9313,"Services: Private Duty Home Care, Home Care, Home Health Aid, Medical Social, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Happier At Home,Texas,"8765 Spring Cypress Rd., Suite L-228",Spring,77379,281-936-9036,Services: Home Care
Home Care Assistance,Texas,560 Sawdust Road,Spring,77070,281-292-2928,Services: Home Care
Homewatch CareGivers,Texas,"1776 Woodstead Court, Suite 208",Spring,77380,281-882-8000,"Services: Private Duty Home Care, Home Care, and Home Health Aid"
Pathfinder Home Health,Texas,24800 Pitkin Rd Suite B,Spring,77386,281-364-9161,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Pinard Home Health,Texas,17819 Stuebner Airline Rd Suite F,Spring,77379,281-205-7948,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Silver Spring Home Health Care Services,Texas,18 Augusta Pines Dr Suite 120 W,Spring,77389,281-651-2268,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Crockett Palace,Texas,10101 Rebecca Creek Road,Spring Branch,78070,513-696-0508,""
A & G Health Agency,Texas,"435 FM 1092 Road, Suite B1",Stafford,77477,713-973-6616,""
A Plus Home Health Care,Texas,4677 Techniplex Drive,Stafford,77477,281-988-1405,""
A1 Hospice of Houston,Texas,"13003 Murphy Road, Suite E2",Stafford,77477,713-522-0771,""
Ace-Ellent Health Care Services,Texas,"10701 CORPORATE DRIVE, SUITE #388",Stafford,77477,281-903-7059,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Affectionate Heart,Texas,11104 WEST AIRPORT STE #141,Stafford,77477,281-762-2339,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Alpha Health Care Services,Texas,706 Bold Ruler Drive,Stafford,77477,713-270-9881,""
Arising Health Care Services,Texas,2003 Ruffian Lane,Stafford,77477,832-661-7492,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Ascension Home Health,Texas,"10707 CORPORATE DRIVE, SUITE #153",Stafford,77477,281-499-5901,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Axis Care Group Home Health Services,Texas,4800 Sugar Grove Blvd Suite 625,Stafford,77477,281-495-4845,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
B.Q.C.. Home Health,Texas,"4007 Greenbriar Street, Suite E",Stafford,77477,281-491-4019,""
Bema Health Care,Texas,12603 Southwest Freeway Suite 285,Stafford,77477,281-313-6150,"Services: Home Health Aid, Medical Social, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Bennybright Home Health Services,Texas,3727 GREENBRIAR SUITE 206,Stafford,77477,832-999-4033,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Bio Home Health Services,Texas,11104 W AIRPORT STE 225,Stafford,77477,281-980-2262,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Blessed Health Care,Texas,3952 Bluebonnet,Stafford,77477,281-494-0412,"Services: Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Careline Home Health Service,Texas,4434 BLUEBONNET SUITE 135,Stafford,77477,281-208-3929,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
"Caring Angel Health Care Services,",Texas,10701 Corporate Drive Suite 200,Stafford,77477,281-498-0020,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Caring Professional Home Health Services,Texas,"12783 Capricorn Dr, Suite 600",Stafford,77477,281-265-1633,""
Caring Professional Home Health Services,Texas,12783 Capricorn Street Suite #600,Stafford,77477,281-265-1633,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Chase Health Care Service,Texas,12834 Frances Lane,Stafford,77477,832-539-1684,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Chelston Care Services,Texas,4434 BLUE BONNET SUITE 118,Stafford,77477,281-494-0906,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Chrysolyte Health Services,Texas,"4800 SUGAR GROVE, SUITE #290",Stafford,77477,713-774-9300,"Services: Medical Social, Medicare, Nursing Care, Physical Therapy, and Speech Pathology"
Community Health Associates,Texas,12430 Brook Meadows Lane,Stafford,77477,281-969-5952,"Services: Medical Social, Medicare, Nursing Care, Physical Therapy, and Speech Pathology"
Cotel Health Care Services,Texas,4434 BLUEBONNET SUITE 141,Stafford,77477,281-277-0610,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
D&L Health Care Services,Texas,315 Leisure Drive,Stafford,77477,713-778-9681,""
Diversity Care Providers,Texas,12315 Fern Meadow Drive,Stafford,77477,832-771-4526,"Services: Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Embassy Home Health Care,Texas,10701 CORPORATE DRIVE STE 395,Stafford,77477,713-589-8050,"Services: Home Health Aid, Medicare, Nursing Care, and Physical Therapy"
Estan Health Care Services,Texas,10707 Corporate Drive Suite 152,Stafford,77477,281-498-8280,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Exceptional Health Care Services,Texas,4800 Sugar Grove Blvd Suite 320,Stafford,77477,281-933-6012,"Services: Home Health Aid, Medicare, Nursing Care, and Physical Therapy"
Francis Health Care Services,Texas,4434 Bluebonnet Drive Ste 142,Stafford,77477,281-201-8966,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Fresno Health Care Services,Texas,10707 Corporate Drive Suite 106,Stafford,77477,832-767-5333,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Genesis Home Care,Texas,4434 BLUEBONNET #125,Stafford,77477,713-933-0427,"Services: Home Health Aid, Medical Social, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Gilgal Health Care Services,Texas,2423 North Main Street,Stafford,77477,281-232-3555,"Services: Home Health Aid, Medicare, Nursing Care, and Physical Therapy"
Golden Acres Home Health,Texas,11104 West Airport Ste 105,Stafford,77477,281-741-1299,""
Graces Tlc Home,Texas,10701 CORPORATE DR STE 203,Stafford,77477,713-204-7735,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Guiding Light Health Care Services,Texas,10707 Corporate Drive Suite 102,Stafford,77477,832-886-4464,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Healing Source Home Care,Texas,12783 Capricorn Drive Suite 500,Stafford,77477,281-242-4325,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Ideal Care Providers,Texas,2203 Whirlaway Drive,Stafford,77477,281-499-9512,""
Ivory Health Care Agency,Texas,2135 War Admiral Dirve,Stafford,77477,281-261-0874,""
Ivory Health Care Agency,Texas,2135 War Admiral Drive,Stafford,77477,281-261-0874,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Jeds Health Care Services,Texas,12319 Meadow Briar Drive,Stafford,77477,281-240-1174,"Services: Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Jmm Home Health,Texas,12763 CAPRICORN STREET #600,Stafford,77477,281-340-8108,"Services: Home Health Aid, Medical Social, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
K & G Quality Home Health Care,Texas,12603 South West Freeway Suite 520,Stafford,77477,281-313-1844,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Lfa Health Care Services,Texas,10707 Corporate Drive Suite 156,Stafford,77477,832-500-4171,"Services: Home Health Aid, Medical Social, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Lifetec Plus,Texas,13235 North Promenade Boulevard,Stafford,77477,800-231-9841,""
Majestik Care Providers,Texas,12861 Capricorn Drive,Stafford,77477,832-767-1729,"Services: Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Medcare Professional Group,Texas,12371 South Kirkwood Drive,Stafford,77477,713-995-9292,""
Memorial Hermann Home Health,Texas,11929 West Airport Blvd Suite 150,Stafford,77477,281-325-5600,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Memorial Methodist Home Health Care,Texas,4800 Sugar Grove Blvd Suite 385,Stafford,77477,832-433-2246,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Metrio Home Health Services,Texas,"10707 Corporate Drive, Suite 156",Stafford,77477,281-494-1723,""
Midland Health Care Services,Texas,12122 MURPHY ROAD SUITE B-1,Stafford,77477,832-886-4539,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
National Senior Care Home Health Services,Texas,10707 CORPORATE DR. STE. 140,Stafford,77477,713-780-2390,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Nationsmed Health Care,Texas,4677 Techniplex,Stafford,77477,281-240-4144,"Services: Home Health Aid, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Niron Health Care Services Incorporated,Texas,11104 WEST AIRPORT SUITE 110,Stafford,77477,281-776-0030,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Nissi Home Health Care And Personal Assistance Car,Texas,4411 Bluebonnet Drive Suite 101,Stafford,77477,281-313-1874,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
North Home Health Care,Texas,11104 W AIRPORT BLVD SUITE 134,Stafford,77477,281-565-6525,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Oasis Health Care,Texas,12110 Murphy Rd Suite C,Stafford,77477,281-529-6278,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Parkway Health Care Services,Texas,10311 W AIRPORT BLVD SUITE 107,Stafford,77477,281-741-7783,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Perry Lee Home Health Care Services,Texas,"4915 South Main Street, Suite 116",Stafford,77477,281-261-0166,""
PHC the Heart of Home Care,Texas,611 Elm View Court,Stafford,77477,713-960-8000,""
Physical Therapy International,Texas,"10701 Corporate Drive, Suite 270",Stafford,77477,713-242-7999,""
Pro Care Resources,Texas,10701 Corporate Drive Suite 101,Stafford,77477,281-265-2794,"Services: Home Health Aid, Medical Social, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Rapha Home Health Care,Texas,4250 Bluebonnet Dr,Stafford,77477,832-288-2242,"Services: Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Rapid Home Health Care,Texas,3727 Greenbriar Drive Ste 106b,Stafford,77477,281-240-0658,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Reliant Home Care Services Limited Liability Compa,Texas,620 FM 1092 SUITE 213,Stafford,77477,281-403-2571,"Services: Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Silver-Hawk Home Health Care,Texas,3727 GREENBRIAR DR STE 117,Stafford,77477,713-995-6266,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
St Charles Medical Services,Texas,4143 Bluebonnet Drive,Stafford,77477,713-234-7233,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Theracare Home Health,Texas,11104 West Airport Boulevard Suite 255a,Stafford,77477,832-439-0220,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Tophill Homecare Services,Texas,4800 Sugar Grove Boulevard Suite 250,Stafford,77477,832-999-4742,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Trinity Health Care Services,Texas,12763 CAPRICORN DR # 700,Stafford,77477,832-886-4421,"Services: Home Health Aid, Medical Social, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Triple O Health Services,Texas,4141 Bluebonnet Drive,Stafford,77477,281-903-7546,"Services: Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Vitalcare Health Services,Texas,3956 Bluebonnet Drive,Stafford,77477,281-494-5141,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Zoey Health Services,Texas,4260 Bluebonnet Dr,Stafford,77477,346-204-5150,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Abilene Home Health Professional Care,Texas,265 South Leggett Drive Suite 1,Abilene,79605,"","Services: Home Health Aid, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Stamford Memorial Hospital Home Health Agency,Texas,Highway 6 East,Stamford,79553,915-773-2725,""
Stamford Memorial Hospital Home Health Care,Texas,1601 Columbia Street,Stamford,79553,325-773-2663,"Services: Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Trulite Home Care,Texas,310 N. ST. PETER,Stanton,79782,432-607-2516,"Services: Home Health Aid, Medical Social, Medicare, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
Auxi Health Care,Texas,2301A West South Loop,Stephenville,76401,254-965-9666,""
Pecan Valley Mental Health Mental Retardation,Texas,"650 Green Street, PO Box 973",Stephenville,76401,817-965-7806,""
Stephen's Home Health Care,Texas,711 North Graham,Stephenville,76401,254-965-6629,"Services: Home Care, Home Health Aid, Medical Social, Nursing Care, Occupational Therapy, Physical Therapy, and Speech Pathology"
